"*","JUMP","71.6736394211","1.23101825812"
"*","JUMP","70.3038306108","6.96764064904"
"*","STITCH","70.4038306108","7.06764064904"
"*","JUMP","60.0641804977","3.41220874884"
"*","STITCH","60.1641804977","3.51220874884"
"*","STITCH","60.3921920083","2.46753502266"
"*","STITCH","59.7361689872","4.35688247502"
"*","STITCH","60.7714383088","2.59921768563"
"*","STITCH","60.1154152876","4.48856513799"
"*","STITCH","61.1506846093","2.7309003486"
"*","STITCH","60.4946615881","4.62024780096"
"*","STITCH","61.5299309098","2.86258301157"
"*","STITCH","60.8739078886","4.75193046393"
"*","STITCH","61.9091772102","2.99426567454"
"*","STITCH","61.2531541891","4.8836131269"
"*","STITCH","62.2884235107","3.12594833751"
"*","STITCH","61.6324004896","5.01529578987"
"*","STITCH","62.6676698112","3.25763100048"
"*","STITCH","62.0116467901","5.14697845284"
"*","STITCH","63.0469161117","3.38931366345"
"*","STITCH","62.3908930906","5.27866111581"
"*","STITCH","63.4261624122","3.52099632642"
"*","STITCH","62.770139391","5.41034377878"
"*","STITCH","63.8054087127","3.65267898939"
"*","STITCH","63.1493856915","5.54202644175"
"*","STITCH","64.1846550132","3.78436165236"
"*","STITCH","63.528631992","5.67370910472"
"*","STITCH","64.5639013136","3.91604431533"
"*","STITCH","63.9078782925","5.80539176769"
"*","STITCH","64.9431476141","4.0477269783"
"*","STITCH","64.287124593","5.93707443066"
"*","STITCH","65.3223939146","4.17940964127"
"*","STITCH","64.6663708935","6.06875709363"
"*","STITCH","65.7016402151","4.31109230424"
"*","STITCH","65.045617194","6.2004397566"
"*","STITCH","66.0808865156","4.44277496721"
"*","STITCH","65.4248634944","6.33212241957"
"*","STITCH","66.4601328161","4.57445763018"
"*","STITCH","65.8041097949","6.46380508254"
"*","STITCH","66.8393791166","4.70614029316"
"*","STITCH","66.1833560954","6.59548774551"
"*","STITCH","67.218625417","4.83782295613"
"*","STITCH","66.5626023959","6.72717040848"
"*","STITCH","67.5978717175","4.9695056191"
"*","STITCH","66.9418486964","6.85885307145"
"*","STITCH","67.977118018","5.10118828207"
"*","STITCH","67.3210949969","6.99053573442"
"*","STITCH","68.3563643185","5.23287094504"
"*","STITCH","67.7003412974","7.12221839739"
"*","STITCH","68.735610619","5.36455360801"
"*","STITCH","68.0795875978","7.25390106036"
"*","STITCH","69.1148569195","5.49623627098"
"*","STITCH","68.4588338983","7.38558372333"
"*","STITCH","69.49410322","5.62791893395"
"*","STITCH","68.8380801988","7.5172663863"
"*","STITCH","69.8733495204","5.75960159692"
"*","STITCH","69.2173264993","7.64894904927"
"*","STITCH","70.2525958209","5.89128425989"
"*","STITCH","69.5965727998","7.78063171224"
"*","JUMP","82.5974828049","11.2362672816"
